# YADA Food Database - Format: TYPE|NAME|KEYWORDS|...
BASIC|Apple|apple,fruit,sweet|52
BASIC|Banana|banana,fruit,sweet|105
BASIC|Chicken Breast|chicken,meat,protein|165
BASIC|Brown Rice|rice,grain,carb|108
BASIC|White Bread|bread,grain,carb|75
BASIC|Whole Wheat Bread|bread,grain,whole,carb|69
BASIC|Cheddar Cheese|cheese,dairy,protein|113
BASIC|Milk|milk,dairy,protein|42
BASIC|Egg|egg,protein|78
BASIC|Peanut Butter|peanut,butter,protein|94
BASIC|Strawberry Jam|jam,strawberry,sweet|55
BASIC|Lettuce|lettuce,vegetable,green|5
BASIC|Tomato|tomato,vegetable,red|22
BASIC|Carrot|carrot,vegetable,orange|41
BASIC|Potato|potato,vegetable,starchy|77
COMPOSITE|PB&J Sandwich|sandwich,peanut butter,jam|0
COMPOSITE|Salad|salad,vegetable,healthy|0
